Test,A_hex,B_hex,A_real,B_real,Exact_Result,Approx_Result,Error,Absolute_Error,Percentage_Error,Status
217,41800000,c1000000,n/a,n/a,n/a,c3800000,n/a,n/a,n/a,PASS
218,c1a00000,41400000,n/a,n/a,n/a,c3a00000,n/a,n/a,n/a,PASS
219,41c00000,c1800000,n/a,n/a,n/a,c4400000,n/a,n/a,n/a,PASS
220,c1e00000,41c00000,n/a,n/a,n/a,c4600000,n/a,n/a,n/a,PASS
221,42000000,c2000000,n/a,n/a,n/a,c5000000,n/a,n/a,n/a,PASS
222,c2200000,42400000,n/a,n/a,n/a,c5200000,n/a,n/a,n/a,PASS
223,42400000,c2800000,n/a,n/a,n/a,c5c00000,n/a,n/a,n/a,PASS
224,c2600000,42c00000,n/a,n/a,n/a,c5e00000,n/a,n/a,n/a,PASS
225,3e800000,bf000000,n/a,n/a,n/a,be800000,n/a,n/a,n/a,PASS
226,bea00000,3f400000,n/a,n/a,n/a,bea00000,n/a,n/a,n/a,PASS
227,3ec00000,bf800000,n/a,n/a,n/a,bf400000,n/a,n/a,n/a,PASS
228,bee00000,3fc00000,n/a,n/a,n/a,bf600000,n/a,n/a,n/a,PASS
229,3f000000,c0000000,n/a,n/a,n/a,c0000000,n/a,n/a,n/a,PASS
230,bf200000,40400000,n/a,n/a,n/a,c0200000,n/a,n/a,n/a,PASS
231,3f400000,c0800000,n/a,n/a,n/a,c0c00000,n/a,n/a,n/a,PASS
232,bf600000,40c00000,n/a,n/a,n/a,c0e00000,n/a,n/a,n/a,PASS
233,3f800000,c1000000,n/a,n/a,n/a,c1800000,n/a,n/a,n/a,PASS
234,bfa00000,41400000,n/a,n/a,n/a,c1a00000,n/a,n/a,n/a,PASS
235,3fc00000,c1800000,n/a,n/a,n/a,c2400000,n/a,n/a,n/a,PASS
236,bfe00000,41c00000,n/a,n/a,n/a,c2600000,n/a,n/a,n/a,PASS
237,40000000,c2000000,n/a,n/a,n/a,c3000000,n/a,n/a,n/a,PASS
238,c0200000,42400000,n/a,n/a,n/a,c3200000,n/a,n/a,n/a,PASS
239,40400000,c2800000,n/a,n/a,n/a,c3c00000,n/a,n/a,n/a,PASS
240,c0600000,42c00000,n/a,n/a,n/a,c3e00000,n/a,n/a,n/a,PASS
241,40800000,bf000000,n/a,n/a,n/a,c0800000,n/a,n/a,n/a,PASS
242,c0a00000,3f400000,n/a,n/a,n/a,c0a00000,n/a,n/a,n/a,PASS
243,40c00000,bf800000,n/a,n/a,n/a,c1400000,n/a,n/a,n/a,PASS
244,c0e00000,3fc00000,n/a,n/a,n/a,c1600000,n/a,n/a,n/a,PASS
