Test,A_hex,B_hex,A_real,B_real,Exact_Result,Approx_Result,Error,Absolute_Error,Percentage_Error,Status
236,bfe00000,41c00000,n/a,n/a,n/a,c2560000,n/a,n/a,n/a,PASS
237,40000000,c2000000,n/a,n/a,n/a,c28c0000,n/a,n/a,n/a,PASS
238,c0200000,42400000,n/a,n/a,n/a,c2ec0000,n/a,n/a,n/a,PASS
239,40400000,c2800000,n/a,n/a,n/a,c34c0000,n/a,n/a,n/a,PASS
240,c0600000,42c00000,n/a,n/a,n/a,c3d60000,n/a,n/a,n/a,PASS
241,40800000,bf000000,n/a,n/a,n/a,c00c0000,n/a,n/a,n/a,PASS
242,c0a00000,3f400000,n/a,n/a,n/a,c06c0000,n/a,n/a,n/a,PASS
243,40c00000,bf800000,n/a,n/a,n/a,c0cc0000,n/a,n/a,n/a,PASS
244,c0e00000,3fc00000,n/a,n/a,n/a,c1560000,n/a,n/a,n/a,PASS
245,41000000,c0000000,n/a,n/a,n/a,c18c0000,n/a,n/a,n/a,PASS
246,c1200000,40400000,n/a,n/a,n/a,c1ec0000,n/a,n/a,n/a,PASS
247,41400000,c0800000,n/a,n/a,n/a,c24c0000,n/a,n/a,n/a,PASS
248,c1600000,40c00000,n/a,n/a,n/a,c2d60000,n/a,n/a,n/a,PASS
249,41800000,c1000000,n/a,n/a,n/a,c30c0000,n/a,n/a,n/a,PASS
250,c1a00000,41400000,n/a,n/a,n/a,c36c0000,n/a,n/a,n/a,PASS
251,41c00000,c1800000,n/a,n/a,n/a,c3cc0000,n/a,n/a,n/a,PASS
252,c1e00000,41c00000,n/a,n/a,n/a,c4560000,n/a,n/a,n/a,PASS
253,42000000,c2000000,n/a,n/a,n/a,c48c0000,n/a,n/a,n/a,PASS
254,c2200000,42400000,n/a,n/a,n/a,c4ec0000,n/a,n/a,n/a,PASS
255,42400000,c2800000,n/a,n/a,n/a,c54c0000,n/a,n/a,n/a,PASS
256,c2600000,42c00000,n/a,n/a,n/a,c5d60000,n/a,n/a,n/a,PASS
